DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Hour,DayOfWeek,Month,Weekend,is_peak,Season,Period,Total_submetering,Unmetered_power,Power_factor,Rolling_24h_mean,Rolling_7d_mean,high_consumption
2006-12-16 17:00:00,4.222888888888889,0.22899999999999998,234.6438888888889,18.1,0.0,19.0,607.0,17,5,12,1,0,Winter,Afternoon,626.0,0.0,0.9486,4.2229,4.2229,1
2006-12-16 18:00:00,3.6321999999999997,0.08003333333333333,234.58016666666666,15.6,0.0,403.0,1012.0,18,5,12,1,1,Winter,Evening,1415.0,0.0,0.9784,3.9275,3.9275,1
2006-12-16 19:00:00,3.4002333333333334,0.08523333333333333,233.23250000000002,14.503333333333334,0.0,86.0,1001.0,19,5,12,1,1,Winter,Evening,1087.0,0.0,0.9755,3.7518,3.7518,1
2006-12-16 20:00:00,3.2685666666666666,0.0751,234.07150000000001,13.916666666666666,0.0,0.0,1007.0,20,5,12,1,1,Winter,Evening,1007.0,0.0,0.9775,3.631,3.631,1
2006-12-16 21:00:00,3.0564666666666667,0.07666666666666666,237.15866666666668,13.046666666666665,0.0,25.0,1033.0,21,5,12,1,1,Winter,Evening,1058.0,0.0,0.9755,3.5161,3.5161,1
2006-12-16 22:00:00,2.2001333333333335,0.05616666666666667,238.76000000000002,9.523333333333333,0.0,8.0,266.0,22,5,12,1,0,Winter,Night,274.0,0.0,0.9751,3.2967,3.2967,1
2006-12-16 23:00:00,2.0616,0.07143333333333332,240.61966666666666,8.896666666666667,0.0,5.0,0.0,23,5,12,1,0,Winter,Night,5.0,29.36,0.9665,3.1203,3.1203,1
2006-12-17 00:00:00,1.8824666666666665,0.10243333333333333,240.96183333333332,8.126666666666667,0.0,28.0,0.0,0,6,12,1,0,Winter,Night,28.0,3.3744,0.9484,2.9656,2.9656,1
2006-12-17 01:00:00,3.3494,0.13693333333333332,240.44833333333332,14.246666666666666,0.0,1514.0,0.0,1,6,12,1,0,Winter,Night,1514.0,0.0,0.9607,3.0082,3.0082,1
2006-12-17 02:00:00,1.5872666666666668,0.07823333333333334,245.81866666666667,6.87,0.0,34.0,0.0,2,6,12,1,0,Winter,Night,34.0,0.0,0.953,2.8661,2.8661,1
2006-12-17 03:00:00,1.6622,0.07953333333333333,244.5135,7.206666666666667,0.0,46.0,0.0,3,6,12,1,0,Winter,Night,46.0,0.0,0.9543,2.7567,2.7567,1
2006-12-17 04:00:00,2.2157666666666667,0.09346666666666666,243.8555,9.333333333333334,0.0,34.0,533.0,4,6,12,1,0,Winter,Night,567.0,0.0,0.9595,2.7116,2.7116,1
2006-12-17 05:00:00,1.9967333333333335,0.06023333333333333,243.71016666666668,8.566666666666666,0.0,10.0,279.0,5,6,12,1,0,Winter,Night,289.0,0.0,0.9707,2.6566,2.6566,1
2006-12-17 06:00:00,1.3033000000000001,0.09483333333333334,244.1415,5.53,0.0,43.0,0.0,6,6,12,1,0,Winter,Morning,43.0,0.0,0.9322,2.5599,2.5599,1
2006-12-17 07:00:00,1.6200333333333332,0.0598,241.84566666666666,6.803333333333333,0.0,10.0,0.0,7,6,12,1,1,Winter,Morning,10.0,17.0006,0.9644,2.4973,2.4973,1
2006-12-17 08:00:00,1.8905666666666667,0.11856666666666667,241.3115,8.05,0.0,45.0,0.0,8,6,12,1,1,Winter,Morning,45.0,0.0,0.941,2.4594,2.4594,1
2006-12-17 09:00:00,2.5490666666666666,0.07923333333333334,238.8478333333333,10.973333333333333,0.0,439.0,0.0,9,6,12,1,1,Winter,Morning,439.0,0.0,0.9699,2.4646,2.4646,1
2006-12-17 10:00:00,3.6289000000000002,0.1946,235.44099999999997,15.533333333333333,533.0,1341.0,969.0,10,6,12,1,0,Winter,Morning,2843.0,0.0,0.9491,2.5293,2.5293,1
2006-12-17 11:00:00,2.4709999999999996,0.2007,236.92466666666667,10.493333333333334,567.0,301.0,1031.0,11,6,12,1,0,Winter,Morning,1899.0,0.0,0.9249,2.5263,2.5263,1
2006-12-17 12:00:00,1.9158666666666666,0.2940333333333333,237.78466666666665,8.136666666666667,0.0,32.0,1039.0,12,6,12,1,0,Winter,Afternoon,1071.0,0.0,0.8669,2.4957,2.4957,1
2006-12-17 13:00:00,1.6607666666666667,0.17153333333333334,239.92066666666668,6.923333333333333,0.0,3.0,1057.0,13,6,12,1,0,Winter,Afternoon,1060.0,0.0,0.9064,2.456,2.456,1
2006-12-17 14:00:00,2.092633333333333,0.2574,244.04566666666668,8.6,0.0,20.0,1094.0,14,6,12,1,0,Winter,Afternoon,1114.0,0.0,0.8905,2.4395,2.4395,1
2006-12-17 15:00:00,2.9854,0.0886,240.48083333333335,12.426666666666668,418.0,12.0,1062.0,15,6,12,1,0,Winter,Afternoon,1492.0,0.0,0.9712,2.4632,2.4632,1
2006-12-17 16:00:00,3.3260333333333336,0.09313333333333333,236.78183333333334,14.006666666666666,515.0,4.0,1030.0,16,6,12,1,0,Winter,Afternoon,1549.0,0.0,0.9728,2.4991,2.4991,1
2006-12-17 17:00:00,3.406766666666667,0.16663333333333333,234.22983333333335,14.51,0.0,28.0,1009.0,17,6,12,1,0,Winter,Afternoon,1037.0,0.0,0.9534,2.4651,2.5355,1
2006-12-17 18:00:00,3.6971,0.13506666666666664,234.37233333333333,15.75,0.0,0.0,1010.0,18,6,12,1,1,Winter,Evening,1010.0,0.0,0.9648,2.4678,2.5801,1
2006-12-17 19:00:00,2.9084,0.26516666666666666,233.19566666666665,12.516666666666667,0.0,31.0,1001.0,19,6,12,1,1,Winter,Evening,1032.0,0.0,0.9164,2.4474,2.5923,1
2006-12-17 20:00:00,3.3615,0.27149999999999996,236.4265,14.276666666666667,0.0,67.0,1027.0,20,6,12,1,1,Winter,Evening,1094.0,0.0,0.9253,2.4512,2.6198,1
2006-12-17 21:00:00,3.040766666666667,0.26796666666666663,239.10416666666666,12.716666666666667,0.0,72.0,1050.0,21,6,12,1,1,Winter,Evening,1122.0,0.0,0.919,2.4506,2.6343,1
